col_name,dtype,descripcion,synonyms
LINEA_BASE_tipo_impacto_inclusion_financiera,VARCHAR,empresa genera impacto social o ambiental en inclusion financiera,"acceso a credito, bancarizacion, finanzas inclusivas, impacto financiero"
LINEA_BASE_tipo_impacto_acceso_mercados,VARCHAR,empresa genera impacto social o ambiental en acceso a mercados,"encadenamiento productivo, conexion comercial, apertura de mercados, integracion comercial"
LINEA_BASE_tipo_impacto_tecnologia_educativa,VARCHAR,empresa genera impacto social o ambiental en tecnologia educativa,"edtech, educacion digital, impacto educativo, innovacion en educacion"
LINEA_BASE_tipo_impacto_salud_bienestar,VARCHAR,empresa genera impacto social o ambiental en salud y bienestar,"healthtech, impacto sanitario, calidad de vida, servicios de salud"
LINEA_BASE_tipo_impacto_desarrollo_comunitario,VARCHAR,empresa genera impacto social o ambiental en desarrollo comunitario,"impacto local, fortalecimiento vecinal, progreso comunitario, desarrollo social"
LINEA_BASE_tipo_impacto_tecnologia_para_desarrollo,VARCHAR,empresa genera impacto social o ambiental en tecnologia para el desarrollo,"tech for good, tecnologia social, tic para el desarrollo, innovacion social digital"
LINEA_BASE_tipo_impacto_economia_circular,VARCHAR,empresa genera impacto social o ambiental en economia circular,"reciclaje y reutilizacion, ciclo de vida, cero residuos, modelo circular"
LINEA_BASE_tipo_impacto_movilidad_transporte_sostenible,VARCHAR,empresa genera impacto social o ambiental en movilidad y transporte sostenible,"transporte limpio, movilidad urbana sustentable, logistica verde"
LINEA_BASE_tipo_impacto_agua_saneamiento,VARCHAR,empresa genera impacto social o ambiental en agua y saneamiento,"acceso a agua potable, higiene y saneamiento, gestion hidrica, recursos hidricos"
LINEA_BASE_tipo_impacto_otros_programas,VARCHAR,empresa genera impacto social o ambiental en otros programas,"impacto alternativo, otras iniciativas, programas miscelaneos, impacto diverso"
LINEA_BASE_generacion_impacto_negativo_empresa,VARCHAR,si la empresa ha identificado impactos negativos generados por ella,"impacto perjudicial, consecuencias negativas, efectos adversos, dano ambiental o social"
LINEA_BASE_modo_toma_decisiones_empresa,VARCHAR,la forma en que cómo se toman decisiones en la empresa,"proceso de decision, estilo de gobernanza, forma de decidir, mecanismo de resolucion"
LINEA_BASE_expectativa_sobre_kinesis,VARCHAR,expectativa que tienen los empresarios por kinesis,"esperanzas en kinesis, objetivos con kinesis, metas con kinesis, interes en kinesis"
LINEA_BASE_nivel_madurez_uso_datos_empresa,VARCHAR,nivel de madurez en el uso de datos en la empresa,"cultura de datos, madurez analitica, uso de informacion, desarrollo en data"
LINEA_BASE_nivel_digitalizacion_procesos,VARCHAR,nivel de digitalizacion de procesos,"madurez tecnologica, avance digital, automatizacion de procesos, transformacion digital"
LINEA_BASE_nivel_integracion_datos_empresa,VARCHAR,nivel de integracion de los datos en la toma de decisiones,"centralizacion de informacion, datos para decisiones, uso integral de datos, conexion de fuentes de datos"
LINEA_BASE_tipo_canal_venta_digital_venta_directa,VARCHAR,la empresa vende productos o servicios a través de la venta directa,"comercializacion directa, venta cara a cara, venta sin intermediarios, trato directo"
LINEA_BASE_tipo_canal_venta_digital_sitio_web,VARCHAR,la empresa vende a través de su sitio web,"ventas por pagina web, comercio por portal web, ventas online propias, transacciones en pagina"
LINEA_BASE_tipo_canal_venta_digital_telemarketing,VARCHAR,la empresa vende a través de telemarketing,"ventas por telefono, ventas telefonicas, call center comercial, mercadeo telefonico"
LINEA_BASE_tipo_canal_venta_digital_ecommerce,VARCHAR,la empresa vende a través de plataforma ecommerce,"comercio electronico, tienda online, tienda virtual, ventas por plataforma"
LINEA_BASE_tipo_canal_venta_digital_marketplace,VARCHAR,la empresa vende a través de marketplace,"venta en plataformas, tiendas externas, portales de terceros, mercados virtuales"
LINEA_BASE_tipo_canal_venta_digital_publicidad_linea,VARCHAR,la empresa invierte en publicidad en linea,"anuncios digitales, pauta en internet, marketing pagado, publicidad web"
LINEA_BASE_tipo_canal_venta_digital_redes_sociales,VARCHAR,la empresa vende por redes sociales,"social commerce, ventas por rrss, comercio en redes, ventas por perfil social"
LINEA_BASE_tipo_canal_venta_digital_whatsapp,VARCHAR,la empresa vende por whatsapp,"ventas por chat, comercio por mensajeria, pedidos por whatsapp, venta por mensajeria instantanea"
LINEA_BASE_tipo_canal_venta_digital_pasarela_pagos,VARCHAR,la empresa vende a traves de pasarela de pagos,"pagos en linea, pasarelas digitales, cobros electronicos, transacciones digitales"
LINEA_BASE_tipo_canal_venta_digital_tienda_fisica,VARCHAR,la empresa vende por tienda fisica,"local comercial, punto de venta fisico, establecimiento presencial, sucursal fisica"
LINEA_BASE_tipo_canal_venta_digital_retailer_mayorista,VARCHAR,la empresa es retailer o vende al por mayor,"venta al por mayor, distribucion masiva, comercio mayorista, gran volumen de venta"
LINEA_BASE_tipo_canal_venta_digital_franquicia,VARCHAR,la empresa opera una franquicia,"modelo de franquicia, licencia comercial, negocio franquiciado, sucursales licenciadas"
LINEA_BASE_tipo_canal_venta_digital_distribuidores,VARCHAR,la empresa es distribuidora de otras empresas,"red de distribucion, intermediarios comerciales, canales de distribucion, proveedores externos"
LINEA_BASE_tipo_canal_venta_digital_venta_recomendaciones,VARCHAR,la empresa vende por recomendaciones de terceros,"marketing de boca a boca, referidos, recomendaciones de clientes, ventas por voz a voz"
LINEA_BASE_tipo_canal_venta_digital_eventos_ferias,VARCHAR,la empresa vende en eventos y ferias,"venta en exposiciones, puestos en ferias, stand en eventos, comercializacion en convenciones"
LINEA_BASE_tipo_canal_venta_digital_venta_catalogo,VARCHAR,la empresa vende por catálogo,"venta por catalogo, pedidos por folleto, venta directa por muestrario, ventas de revista"
LINEA_BASE_autocalificacion_conocimiento_gestion_registro_contable,BIGINT,el empresario califica sus conocimientos sobre gestion de registro contable,"saber de contabilidad, manejo de libros contables, dominio de registros financieros, habilidad en teneduria de libros"
LINEA_BASE_autocalificacion_conocimiento_gestion_estados_financieros,BIGINT,el empresario califica sus conocimientos sobre estados financieros,"entender balances, lectura de estados contables, conocimiento de estados de resultados, manejo de reportes financieros"
LINEA_BASE_autocalificacion_conocimiento_analisis_financiero,BIGINT,el empresario califica sus conocimientos sobre analisis financiero,"evaluacion de finanzas, interpretacion de indicadores, estudio de rentabilidad"
LINEA_BASE_autocalificacion_conocimiento_presupuesto,BIGINT,el empresario califica sus conocimientos sobre presupuesto,"manejo presupuestario, planificacion de gastos, elaboracion de presupuestos"
LINEA_BASE_recibido_financiamiento,VARCHAR,si la empresa ha recibido financiamiento,"obtuvo inversion, acceso a capital, recibio prestamos, financiamiento externo"
LINEA_BASE_tipo_financiamiento_prestamos_amigos,VARCHAR,si la empresa ha recibido financiamiento de amigos o familiares,"prestamos familiares, dinero de conocidos, capital de cercania, financiamiento informal"
LINEA_BASE_tipo_financiamiento_tarjeta_credito,VARCHAR,si la empresa ha recibido financiamiento a través de tarjerta de credito personal,"deuda en plastico personal, financiamiento con tarjeta propia, credito revolvente personal"
LINEA_BASE_tipo_financiamiento_tarjeta_credito_empresa,VARCHAR,si la empresa ha recibido financiamiento a través de tarjerta de credito empresarial,"tarjeta corporativa, credito empresarial"
LINEA_BASE_tipo_financiamiento_venta_acciones_nuevos_socios,VARCHAR,si la empresa ha recibido financiamiento a través de venta de acciones nuevos socios,"entrada de nuevos socios, venta de acciones, financiamiento por capital, aumento de capital"
LINEA_BASE_tipo_financiamiento_prestamos_bancos_financieras,VARCHAR,si la empresa ha recibido financiamiento de bancos o financieras,"creditos bancarios, prestamos institucionales, financiamiento bancario"
LINEA_BASE_tipo_financiamiento_prestamo_informales,VARCHAR,si la empresa ha recibido financiamiento de prestamistas informales,"prestamos gota a gota, prestamistas informales, credito no regulado"
LINEA_BASE_tipo_financiamiento_casa_comercial_proveedores,VARCHAR,si la empresa ha recibido financiamiento de casas comerciales o proveedores,"credito de proveedores, financiamiento comercial, deuda con casas comerciales"
LINEA_BASE_tipo_financiamiento_gobierno,VARCHAR,si la empresa ha recibido financiamiento de programas gubernamentales,"fondos publicos, subsidios estatales, apoyos gubernamentales"
LINEA_BASE_tipo_financiamiento_crowdfunding,VARCHAR,si la empresa ha recibido financiamiento de plataformas de financiamiento colectivo,"financiamiento colectivo, fondeo masivo, recaudacion comunitaria"
LINEA_BASE_tipo_financiamiento_otros,VARCHAR,si la empresa ha recibido financiamiento a través de otros tipos,"financiamiento alternativo, otras fuentes de capital, fuentes no especificadas"
LINEA_BASE_solicitud_financiamiento_aprobada,VARCHAR,el empresario solicito prestamo y se lo aprobaron,"prestamo aceptado, credito aprobado, financiamiento otorgado, solicitud exitosa"
LINEA_BASE_solicitud_financiamiento_denegada,VARCHAR,el empresario solicito prestamo y se lo denegaron,"prestamo rechazado, credito denegado, financiamiento negado, solicitud declinada"
LINEA_BASE_solicitud_financiamiento_aprobada_parcial,VARCHAR,el empresario solicito prestamo y se lo aprobaron parcialmente,"credito parcial, prestamo incompleto, aprobacion limitada, financiamiento fraccionado"
LINEA_BASE_solicitud_financiamiento_en_proceso,VARCHAR,el empresario solicito prestamo y la evaluacion se encuentra en proceso,"tramite pendiente, credito en evaluacion, solicitud en curso, prestamo bajo revision"
LINEA_BASE_solicitud_financiamiento_no_solicite,VARCHAR,el empresario señala que no pidio prestamo,"sin solicitud de deuda, no pidio credito, nunca solicito prestamo"
LINEA_BASE_motivo_negacion_credito_sin_record_crediticio,VARCHAR,el empresario solicito credito pero se lo negaron por no tener historial crediticio,"sin historial personal, falta de record, carencia de antecedentes financieros"
LINEA_BASE_motivo_negacion_credito_empresa_sin_record_crediticio,VARCHAR,el empresario solicito credito pero se lo negaron porque la empresa no tiene historial crediticio,"sin historial corporativo, falta de record empresarial"
LINEA_BASE_motivo_negacion_credito_garantia_insuficiente,VARCHAR,el empresario solicito credito pero se lo negaron porque no tenia garantia suficiente,"falta de colateral, respaldo insuficiente, carencia de aval"
LINEA_BASE_motivo_negacion_credito_requisitos_incompletos,VARCHAR,el empresario solicito credito pero se lo negaron porque no pudo completar los requisitos,"falta de documentos, tramite inconcluso, requisitos faltantes"
LINEA_BASE_motivo_negacion_credito_record_afectado,VARCHAR,el empresario solicito credito pero se lo negaron porque tiene el historial crediticio afectado,"historial negativo, mal record, antecedentes manchados, puntaje crediticio bajo"
LINEA_BASE_motivo_negacion_credito_sin_explicacion,VARCHAR,el empresario solicito credito pero se lo negaron sin explicacion,"rechazo sin motivo, negacion injustificada, sin causa especificada, motivo desconocido"
LINEA_BASE_motivo_negacion_credito_falta_antiguedad,VARCHAR,el empresario solicito credito pero se lo negaron porque la empresa no tiene antiguedad suficiente,"poco tiempo de operacion, empresa muy joven, falta de trayectoria"
LINEA_BASE_motivo_negacion_credito_otros,VARCHAR,el empresario solicito credito pero se lo negaron por otros motivos,"otros rechazos, causas diversas, motivos alternos"
LINEA_BASE_motivo_no_solicitud_credito_empresa_pequena,VARCHAR,el empresario no solicito credito porque su empresa es pequeña,"amano reducido, empresa chica, microempresa"
LINEA_BASE_motivo_no_solicitud_credito_empresa_reciente,VARCHAR,el empresario no solicito credito porque su empresa fue creada hace poco,"negocio nuevo, creacion reciente, empresa joven"
LINEA_BASE_motivo_no_solicitud_credito_empresariaria_no_lista,VARCHAR,el empresario no solicito credito porque no se siente listo para endeudarse,"falta de preparacion, empresario no listo, duda para endeudarse, inmadurez financiera"
LINEA_BASE_motivo_no_solicitud_credito_insegura_pago,VARCHAR,el empresario no solicito credito porque no se siente seguro de poder pagarlo,"miedo al impago, incertidumbre de pago, riesgo de no pago, duda de solvencia"
LINEA_BASE_motivo_no_solicitud_credito_desconocimiento_fuentes,VARCHAR,el empresario no solicito credito porque no sabe donde conseguir financiamiento,"falta de informacion, ignora opciones de credito, desconoce prestamistas, duda de fuentes"
LINEA_BASE_motivo_no_solicitud_credito_record_afectado,VARCHAR,el empresario no solicito credito porque él o algún socio tiene el record crediticio afectado,"historial danado, socios con mal record, calificacion negativa, problemas de buro"
LINEA_BASE_motivo_no_solicitud_credito_no_necesario,VARCHAR,el empresario no solicito credito porque no lo ve necesario,"falta de necesidad, capital propio suficiente, sin requerimiento de fondos"
LINEA_BASE_motivo_no_solicitud_credito_otros,VARCHAR,el empresario no solicito credito por otras razones,"causas variadas, motivos diversos, otras justificaciones"
LINEA_BASE_motivo_no_solicitud_credito_dilucion_capital,VARCHAR,el empresario no solicito credito porque le preocupa la dilucion de capital,"perdida de control, miedo a diluirse, cesion de acciones"
LINEA_monto_financiado_2023_prestamos,BIGINT,monto total financiado en el 2023 por prestamos de terceros,"dinero por prestamos, total deuda terceros 2023, suma prestada 2023"
LINEA_monto_financiado_2023_capital,BIGINT,monto total financiado para capital en el 2023,"nversion en capital 2023, aporte de socios 2023, financiamiento por acciones, inyeccion de capital"
LINEA_monto_financiado_2023_donaciones,BIGINT,monto total financiado por donaciones en el 2023,"total donativos 2023, suma de subvenciones, dinero recibido por donacion"
LINEA_monto_financiado_2023_otros,BIGINT,monto total financiado en el 2023 por otras fuentes,"otras fuentes 2023, financiamiento diverso, otros fondos 2023"
LINEA_BASE_busqueda_financiamiento_empresa,VARCHAR,el empresario busca financiamiento para la empresa,"buscando capital, interes en credito, necesidad de fondos, solicitando inversion"
LINEA_BASE_monto_financiamiento_buscado,BIGINT,el monto de financiamiento que el empresario espera conseguir,"cantidad requerida, monto objetivo, capital buscado, cifra de financiamiento deseada"
LINEA_BASE_institucion_financiamiento_buscado_banca_comercial,VARCHAR,el empresario esta buscando financiamiento en bancos,"busqueda en bancos, credito bancario comercial, interes en banca tradicional"
LINEA_BASE_institucion_financiamiento_buscado_banca_desarrollo,VARCHAR,el empresario esta buscando financiamiento en banca de desarrollo,"bancos de fomento, banca estatal, creditos publicos, instituciones de desarrollo"
LINEA_BASE_institucion_financiamiento_buscado_no_bancarias,VARCHAR,el empresario esta buscando financiamiento en entidades no bancarias,"entidades financieras no bancarias, cooperativas de ahorro, financieras privadas, instituciones no tradicionales"
LINEA_BASE_institucion_financiamiento_buscado_organizaciones_empresariales,VARCHAR,el empresario esta buscando financiamiento en organizaciones empresariales,"camaras de comercio, asociaciones gremiales, redes empresariales, grupos industriales"
LINEA_BASE_institucion_financiamiento_buscado_programa_gobierno,VARCHAR,el empresario esta buscando financiamiento en programas gubernamentales,"apoyos estatales, subsidios publicos, fondos gubernamentales, convocatorias de gobierno"
LINEA_BASE_institucion_financiamiento_buscado_proveedores,VARCHAR,el empresario esta buscando financiamiento entre sus proveedores,"credito de suministros, financiamiento comercial, cuentas por pagar, trato con proveedores"
LINEA_BASE_institucion_financiamiento_buscado_familiares_amigos,VARCHAR,el empresario esta buscando financiamiento entre sus familiares y amigos,"prestamos de confianza, capital relacional, apoyo de conocidos, dinero de parientes"
LINEA_BASE_institucion_financiamiento_buscado_crowdfunding,VARCHAR,el empresario esta buscando financiamiento en plataformas de crowdfunding,"fondeo colectivo, financiamiento colaborativo, plataformas de aportes, microdonaciones masivas"
LINEA_BASE_institucion_financiamiento_buscado_capital_riesgo,VARCHAR,el empresario esta buscando financiamiento en fondos de capital de riesgo,"venture capital, capital emprendedor, fondos de riesgo, inversion de impacto"
LINEA_BASE_institucion_financiamiento_buscado_inversionistas,VARCHAR,el empresario esta buscando financiamiento en inversionistas,"angeles inversionistas, capital privado, socios capitalistas, inyeccion de terceros"
LINEA_BASE_institucion_financiamiento_buscado_fintech,VARCHAR,el empresario esta buscando financiamiento en fintech,"prestamos digitales, servicios financieros tecnologicos, banca online, credito digital"
LINEA_BASE_institucion_financiamiento_buscado_microfinanciera,VARCHAR,el empresario esta buscando financiamiento en microfinancieras,"prestamos para microempresas, imf, credito popular, microcreditos locales"
LINEA_BASE_institucion_financiamiento_buscado_otros,VARCHAR,el empresario esta buscando financiamiento en otros lados,"fuentes alternativas, otros prestamistas, origen no especificado"
LINEA_BASE_tipo_aliado_academia,VARCHAR,la empresa tiene como aliado a una institucion academica,"convenios con universidades, centros de investigacion, institutos educativos, alianzas academicas"
LINEA_BASE_tipo_aliado_financiadores,VARCHAR,la empresa tiene como aliado a bancos o instituciones financieras,"socios bancarios, entidades de prestamo, aliados financieros, fuentes de credito"
LINEA_BASE_tipo_aliado_otros,VARCHAR,la empresa tiene otro tipo de aliados,"otros socios, alianzas diversas, cooperacion externa, otros convenios"
LINEA_BASE_tipo_aliado_sector_publico,VARCHAR,la empresa tiene como aliado a entidades del sector publico,"entidades gubernamentales, socios estatales, nexos publicos, organismos oficiales"
LINEA_BASE_tipo_aliado_ong,VARCHAR,la empresa tiene como aliado a una ong,"fundaciones, organizaciones sin fines de lucro, aliados sociales, entidades del tercer sector"
LINEA_BASE_tipo_aliado_organizacion_apoyo_emprendimiento,VARCHAR,la empresa tiene como aliado a organizaciones de apoyo al emprendimiento,"incubadoras de negocios, aceleradoras, centros de emprendimiento, hubs de innovacion"
LINEA_BASE_tipo_aliado_empresa_impacto_social,VARCHAR,la empresa tiene como aliado a organizaciones de impacto social,"empresas con proposito, socios sociales, negocios inclusivos, entidades de beneficio social"
LINEA_BASE_tipo_aliado_empresa_impacto_ambiental,VARCHAR,la empresa tiene como aliado a organizaciones de impacto ambiental,"socios ecologicos, empresas verdes, aliados ambientales, negocios sustentables"
LINEA_BASE_tipo_aliado_fondo_inversion_impacto,VARCHAR,la empresa tiene como aliado a organizaciones administradoras de fondos de inversion de impacto,"administradores de impacto, fondos sociales, inversionistas de impacto, gestores de capital social"
LINEA_BASE_tipo_aliado_redes_emprendedores_sociales,VARCHAR,la empresa tiene como aliado a redes de emprendedores sociales,"comunidades de impacto, ecosistema social, red de emprendimiento, colectivos sociales"
LINEA_BASE_tipo_aliado_consultoras_sostenibilidad,VARCHAR,la empresa tiene como aliado a consultoras de sostenibilidad,"asesores esg, consultoria ambiental, expertos en sostenibilidad, asesoria de impacto"
LINEA_BASE_tipo_aliado_organizacion_de_certificacion,VARCHAR,la empresa tiene como aliado a organizaciones certificadoras,"sellos de calidad, entidades certificadoras, entes de verificacion, agencias de auditoria"
LINEA_BASE_tipo_aliado_plataforma_crowdfunding,VARCHAR,la empresa tiene como aliado a plataformas de crowdfunding,"portales de fondeo, sitios de financiacion, redes de crowdfunding, canales de inversion colectiva"
LINEA_BASE_tipo_aliado_medio_comunicacion_sostenibilidad,VARCHAR,la empresa tiene como aliado a medio de comunicacion de sostenibilidad,"prensa especializada, revistas de impacto, medios verdes, difusion sostenible"
LINEA_BASE_razones_networking_aliados_acceso_financiamiento,VARCHAR,la empresa consiguio aliados para acceder a financiamiento,"contactos para capital, redes de inversion, enlaces financieros, networking de fondos"
LINEA_BASE_razones_networking_aliados_capacitaciones,VARCHAR,la empresa consiguio aliados para acceder a capacitaciones,"nexos educativos, redes de formacion, contactos de entrenamiento, alianzas de aprendizaje"
LINEA_BASE_razones_networking_aliados_desarrollo_nuevos_mercados,VARCHAR,la empresa consiguio aliados para acceder a nuevos mercados,"expansion comercial, apertura de zonas, alianzas de crecimiento, redes de exportacion"
LINEA_BASE_razones_networking_aliados_apoyo_innovacion,VARCHAR,la empresa consiguio aliados para acceder a apoyo a innovacion,"redes de tecnologia, nexos creativos, contactos de i+d, alianzas de transformacion"
LINEA_BASE_razones_networking_aliados_incremento_impacto_social,VARCHAR,la empresa consiguio aliados para incrementar su impacto social,"mejora social, escalamiento de impacto, beneficio comunitario, mayor huella social"
LINEA_BASE_razones_networking_aliados_incremento_impacto_ambiental,VARCHAR,la empresa consiguio aliados para incrementar su impacto ambiental,"mejora ecologica, cuidado del entorno, beneficio ambiental, mayor huella verde"
LINEA_BASE_razones_networking_aliados_creacion_redes,VARCHAR,la empresa consiguio aliados para incrementar sus redes de contacto,"contactos estrategicos, networking empresarial, vinculos profesionales, capital relacional"
LINEA_BASE_razones_networking_aliados_reputacion_credibilidad,VARCHAR,la empresa consiguio aliados para mejorar su reputacion y credibilidad,"imagen corporativa, prestigio de marca, confianza empresarial, validacion externa"
LINEA_BASE_razones_networking_aliados_cumplimiento_normativas,VARCHAR,la empresa consiguio aliados para cumplir con regulaciones y normativas,"marco legal, normativa vigente, reglas del sector, estandares de ley"
LINEA_BASE_razones_networking_aliados_acceso_consultoria,VARCHAR,la empresa consiguio aliados para acceder a consultoria,"soporte tecnico, asesoria externa, guia profesional, acompanamiento experto"
LINEA_BASE_razones_networking_aliados_acceso_certificaciones,VARCHAR,la empresa consiguio aliados para acceder a certificaciones de responsabilidad social,"sellos de calidad, avales de responsabilidad, acreditaciones sociales, validacion de procesos"
LINEA_BASE_razones_networking_aliados_colaboracion_responsabilidad_social,VARCHAR,la empresa consiguio aliados para colaborar en proyectos de responsabilidad social,"rse, proyectos comunitarios, iniciativa social compartida, alianza corporativa social"
LINEA_BASE_razones_networking_aliados_aceleracion_crecimiento,VARCHAR,la empresa consiguio aliados para acelerar su crecimiento,"escalabilidad rapida, impulso de negocio, crecimiento acelerado, expansion agil"
LINEA_BASE_razones_networking_aliados_otros,VARCHAR,la empresa consiguio aliados por otras razones,"otros motivos, razones adicionales, diversos objetivos"
LINEA_BASE_intencion_expansion_regional,VARCHAR,la empresa indica a que partes de la region tienen como objetivo expandirse y como lo haran,"mercados internacionales, planes de exportacion, expansion geografica, nuevas fronteras"
LINEA_BASE_ventas_anuales_promedio,BIGINT,ventas anuales en promedio,"ingresos anuales, volumen de venta, promedio de ingresos"
genero_aplicante_principal,VARCHAR,dimension estructural genero de la persona que respondio la encuesta utilizada para segmentacion demografica,genero sexo identidad genero del aplicante genero del empresario mujer hombre no binario diversidad genero
cargo_aplicante_principal,VARCHAR,dimension estructural cargo o posicion que ocupa la persona que respondio la encuesta dentro de la empresa,cargo posicion rol puesto gerente fundador director representante legal propietario socio
pais_empresa_principal,VARCHAR,dimension geografica principal del analisis. pais donde opera la empresa participante del programa. esta es la variable base para analisis por pais.,"pais, paises, territorio, ubicacion, pais principal, pais de operacion, pais de la empresa"
DESEMPENO_formación_numero_faltas,BIGINT,numero de veces que el empresario no asistio a la formacion,"inasistencias a clases, ausencias en talleres, fallas a capacitacion, lecciones perdidas"
DESEMPENO_formación_numero_asistencias,BIGINT,numero de veces que el empresario si asistio a la formacion,"participacion en clases, presencia en talleres, sesiones asistidas, concurrencia a capacitacion"
DESEMPENO_formacion_total,BIGINT,numero de veces total de la formacion,"total de sesiones de formacion, numero de modulos, cantidad de clases, carga horaria total"
DESEMPENO_coaching_faltas,BIGINT,numero de veces que el empresario no asistio a coaching,"inasistencia a mentoria, ausencias en coaching, sesiones de coaching perdidas, fallas con el mentor"
DESEMPENO_coaching_asistencias,BIGINT,numero de veces que el empresario si asistio a coaching,"sesiones con el mentor, presencia en coaching, reuniones de mentoria realizadas, participacion en coaching"
DESEMPENO_coaching_total,BIGINT,numero de veces total de coaching,"total de asesorias, sesiones programadas, cantidad de coaching, sesiones totales"
DESEMPENO_actividades_planteadas_numero,BIGINT,numero de actividades planificadas por el empresario para cumplir objetivos,"tareas planificadas, metas propuestas, actividades iniciales, numero de planes"
DESEMPENO_actividades_proceso_numero,BIGINT,numero de actividades en proceso por el empresario para cumplir objetivos,"tareas en curso, actividades pendientes, avance de tareas, ejecucion actual"
DESEMPENO_actividades_finalizadas_numero,BIGINT,numero de actividades finalizadas por el empresario para cumplir objetivos,"tareas terminadas, metas cumplidas, actividades cerradas, numero de logros"
DESEMPENO_formacion_porcentaje,DOUBLE,porcentaje de progreso obtenido por la empresa en la formacion,"avance de capacitacion, nivel de aprendizaje, progreso educativo, porcentaje de cursos"
DESEMPENO_coaching_porcentaje,DOUBLE,porcentaje de progreso obtenido por la empresa en coaching,"avance de mentoria, progreso de asesoria, nivel de coaching, porcentaje de acompanamiento"
DESEMPENO_progreso_hoja_ruta_porcentaje,DOUBLE,porcentaje de progreso obtenido por la empresa en la hoja de ruta,"avance de plan, cumplimiento de ruta, nivel de ejecucion estrategica, porcentaje de metas"
